name,shortname,date,winningteam,winningteamscore,losingteam,losingteamscore
New Orleans Saints at Las Vegas Raiders,NO @ LV,2020-09-22T00:15Z,Las Vegas Raiders,34,New Orleans Saints,24
Cincinnati Bengals at Cleveland Browns,CIN @ CLE,2020-09-18T00:20Z,Cleveland Browns,35,Cincinnati Bengals,30
New York Giants at Chicago Bears,NYG @ CHI,2020-09-20T17:00Z,Chicago Bears,17,New York Giants,13
Atlanta Falcons at Dallas Cowboys,ATL @ DAL,2020-09-20T17:00Z,Dallas Cowboys,40,Atlanta Falcons,39
Detroit Lions at Green Bay Packers,DET @ GB,2020-09-20T17:00Z,Green Bay Packers,42,Detroit Lions,21
Jacksonville Jaguars at Tennessee Titans,JAX @ TEN,2020-09-20T17:00Z,Tennessee Titans,33,Jacksonville Jaguars,30
Minnesota Vikings at Indianapolis Colts,MIN @ IND,2020-09-20T17:00Z,Indianapolis Colts,28,Minnesota Vikings,11
Buffalo Bills at Miami Dolphins,BUF @ MIA,2020-09-20T17:00Z,Buffalo Bills,31,Miami Dolphins,28
San Francisco 49ers at New York Jets,SF @ NYJ,2020-09-20T17:00Z,San Francisco 49ers,31,New York Jets,13
Los Angeles Rams at Philadelphia Eagles,LAR @ PHI,2020-09-20T17:00Z,Los Angeles Rams,37,Philadelphia Eagles,19
Denver Broncos at Pittsburgh Steelers,DEN @ PIT,2020-09-20T17:00Z,Pittsburgh Steelers,26,Denver Broncos,21
Carolina Panthers at Tampa Bay Buccaneers,CAR @ TB,2020-09-20T17:00Z,Tampa Bay Buccaneers,31,Carolina Panthers,17
Washington  at Arizona Cardinals,WSH @ ARI,2020-09-20T20:05Z,Arizona Cardinals,30,Washington,15
Kansas City Chiefs at Los Angeles Chargers,KC @ LAC,2020-09-20T20:25Z,Kansas City Chiefs,23,Los Angeles Chargers,20
Baltimore Ravens at Houston Texans,BAL @ HOU,2020-09-20T20:25Z,Baltimore Ravens,33,Houston Texans,16
New England Patriots at Seattle Seahawks,NE @ SEA,2020-09-21T00:20Z,Seattle Seahawks,35,New England Patriots,30
